 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
398,"Where’s Your Stuff Interlude","Drake",126,4B,36,2026-08-10,00:52,59,"rap","Hip Hop","MAID OF HONOUR",2026-05-15,62,96,0,68,30,10,-10,G#/A♭,5,3WjmqBYVBac2PNZyGaiZnP,"OVO/Republic",USUG12602466,yes
399,"Trophies","Young Money, Drake",144,3B,69,2026-08-15,03:08,75,"dirty south rap, pop rap, rap, southern hip hop, trap","Hip Hop, Pop","Rise Of An Empire (Deluxe Edition)",2014-01-01,74,16,0,28,30,10,-7,C♯/D♭,4,6HfOzLLjsaXsehIFEsrxTk,"Cash Money Records/Motown Records",USCM51400038,yes
400,"Amen (feat. Drake)","Meek Mill, Drake",150,6B,80,2026-08-22,04:49,55,"rap","Hip Hop","Dreams and Nightmares (Deluxe Edition)",2012-10-26,50,18,0,27,30,0,-5,A#/B♭,4,32UIpKdyGzgTPTO8e5ge5c,"MMG/Warner Records",USWB11201519,yes
401,"No Lie","2 Chainz, Drake",131,11A,67,2026-08-24,03:57,67,"southern hip hop, rap","Hip Hop","Based On A T.R.U. Story (Deluxe)",2012-01-01,63,2,0,61,10,30,-6,F#/G♭ minor,4,4Ox97hNeJSWFCZ8vp76vog,"Def Jam Recordings",USUM71204666,yes
402,"Round of Applause (feat. Drake)","Waka Flocka Flame, Drake",140,11B,76,2026-08-24,04:26,61,"atl hip hop, dirty south rap, pop rap, rap, southern hip hop, trap","Hip Hop, Pop","Triple F Life: Friends, Fans & Family (Deluxe Version)",2012-06-08,71,34,0,90,20,10,-5,A,4,5ORf8BZMbq4xN9kiumrPcQ,"Warner (France)",USWB11103148,yes
403,"4 My Town (Play Ball)","Birdman, Drake, Lil Wayne",152,3B,62,2026-08-24,04:21,57,"southern hip hop, rap, hip hop","Hip Hop","Pricele$$",2009-11-23,62,5,0,52,20,30,-7,C♯/D♭,4,3922kPG1JMYBNhACLo9j3f,"Cash Money",USCM50901149,yes
404,"Moment 4 Life","Nicki Minaj, Drake",98,1B,88,2026-08-26,04:39,76,"hip pop, pop, queens hip hop, rap","Hip Hop, Pop","Pink Friday",2010-01-01,48,41,0,37,30,20,-4,B,4,1ia019RqDK2o4QiANR1Dyn,"Nicki Minaj/Cash Money",USCM51000722,yes
405,"100","The Game, Drake",108,9A,52,2026-09-04,05:34,62,"west coast hip hop, old school hip hop, gangster rap, hip hop, rap","Hip Hop","The Documentary 2",2015-10-09,80,1,0,39,30,10,-10,E minor,4,48YCxFA6VaPwpFd7sFuwnM,"eOne Music",USKO11500831,yes
406,"Good Girls Go Bad","The Game, Drake",160,12A,84,2026-09-07,04:38,45,"west coast hip hop, old school hip hop, gangster rap, hip hop, rap","Hip Hop","The R.E.D. Album",2011-01-01,38,3,0,39,30,80,-5,C♯/D♭ minor,4,7vf8yaBjR5LK9xoArmfWkA,"Geffen",USUM71112099,yes
407,"Poppin Bottles","T.I., Drake",78,8B,85,2026-09-09,05:20,59,"southern hip hop, rap","Hip Hop","No Mercy",2010-12-02,63,0,0,37,10,30,-4,C,4,2pwPtne9zCNTsyYZDLHxDf,"Grand Hustle, LLC",USAT21002613,yes
408,"Off That","JAŸ-Z, Drake",111,3B,93,2026-09-09,04:06,47,"hip hop, east coast hip hop, rap","Hip Hop","The Blueprint 3",2009-09-08,56,28,0,81,20,10,-4,C♯/D♭,4,637A7SaHyjxQEHyUMb30hx,"Roc Nation / Jay-Z",USJZ10900034,yes
409,"We In This 1.5 (feat. Drake and Future)","DJ Drama, Future, Drake",102,9A,84,2026-09-11,03:21,47,"southern hip hop, rap, trap","Hip Hop","Quality Street Music",2012-10-02,39,17,0,51,10,40,-5,E minor,5,1uUKLjIKSEKxJq7Z8Q4ybv,"eOne Music",USKO11202081,yes
410,"Know Bout Me","Timbaland, JAŸ-Z, Drake, James Fauntleroy",107,10B,72,2026-09-12,04:23,42,"dance pop, pop, pop rap, hip hop, east coast hip hop, rap","Electronic, Pop, Hip Hop","Know Bout Me",2013-01-01,79,4,1,20,0,30,-7,D,4,0mcrxVVgQd6jUpLArEB4k6,"Interscope",USUM71318500,yes
411,"Grindin'","Lil Wayne, Drake",104,3B,52,2026-09-12,05:06,48,"rap, hip hop","Hip Hop","Grindin'",2014-01-01,80,1,0,39,20,50,-8,C♯/D♭,4,6lVJb47gQEh3PV585qgRoy,"CM/Republic",USCM51400291,yes
412,"ALL I NEED (feat. Drake)","Popcaan, Drake",91,3A,43,2026-09-14,02:57,59,"dancehall, soca, riddim, afrobeats, reggae, ragga, rap","R&B, Traditional Music, Reggae, Hip Hop, Electronic, Latin","FIXTAPE",2020-08-07,57,7,0,13,0,10,-9,A#/B♭ minor,4,2VkusCBEW3EtnXdlZ3V3U5,"OVO Sound",USWB12002892,yes
413,"Diplomatic Immunity","Drake",75,8A,84,2026-09-20,04:15,55,"rap","Hip Hop","Diplomatic Immunity",2018-01-20,65,1,0,55,40,30,-5,A minor,4,4haJoBPbPj9QFKNpp9e8kx,"Republic Records",USCM51800006,yes
414,"Fear","Drake",84,8A,78,2026-09-24,04:40,61,"rap","Hip Hop","Fear",2009-09-15,33,6,0,31,10,10,-6,A minor,4,5WfBl43XUcWng7OnB8LKNW,"Republic Records",USCM50900324,yes
